Product Name,Code,Department,BP,SP,WP,TRANSCOUNTY_MAIN,TRANSCOUNTY_ANNEX,PEAKFARM,TOTAL_STOCK
Skana 100g,INSECTIIDES,AGROVET,60.0,120.0,100.0,-1,0,0,-1
Skana 1kg,INSECTICIDES,AGROVET,460.0,650.0,650.0,-1,0,0,-1
Skana 250g,INSECTICIDES,AGROVET,134.0,180.0,180.0,-1,0,0,-1
Skana 500g,INSECTICIDES,AGROVET,245.0,350.0,350.0,-1,0,0,-1
Sow and Weaner meal 50kgs,FEEDS,AGROVET,3010.0,3250.0,3100.0,-1,0,0,-1
Spinach 10g EA ,SEEDS,AGROVET,36.0,100.0,70.0,-1,0,0,-1
Spinach 250g Alps,SEEDS,AGROVET,480.0,650.0,620.0,-1,0,0,-1
Spinach 250g EA ,SEEDS,AGROVET,540.0,650.0,600.0,-1,0,0,-1
Spinach 25g Alps,SEEDS,AGROVET,67.0,100.0,100.0,-1,0,2,1
Spinach 25g EA,SEEDS,AGROVET,64.0,120.0,70.0,-1,0,0,-1
Spinach 500g EA,SEEDS,AGROVET,890.0,1200.0,1200.0,-1,0,0,-1
Spinach 50g EA,SEEDS,AGROVET,147.0,250.0,250.0,-1,0,0,-1
Spinach 50g SIM,SEEDS,AGROVET,90.0,180.0,90.0,-1,0,0,-1
Steladone 100ml,ACCARICIDES,AGROVET,270.0,350.0,350.0,-1,0,0,-1
Steladone 1LTR,ACCARICIDES,AGROVET,2250.0,2800.0,2500.0,-1,0,0,-1
Steladone 35ml,ACCARICIDES,AGROVET,191.0,250.0,220.0,-1,0,0,-1
Stocklick Faida 10kgs,MINERALS,AGROVET,210.0,250.0,250.0,-1,0,12,11
Stocklick Faida 50kgs,MINERALS,AGROVET,850.0,950.0,950.0,-1,0,2,1
Stocklick Naju 10kg,MINERALS,AGROVET,180.0,250.0,250.0,-1,0,0,-1
Stocklick Naju 50kg,MINERALS,AGROVET,720.0,1000.0,900.0,-1,0,0,-1
Stop Bloat 125ml,ANTIBIOTICS,AGROVET,142.0,200.0,200.0,-1,0,0,-1
Sugar Loaf 25g,SEEDS,AGROVET,120.0,200.0,150.0,-1,0,0,-1
Sulban 100ml,INSECTICIDES,AGROVET,185.0,300.0,200.0,-1,0,0,-1
Sulphate Amonia 1Kg,FERTILIZER,AGROVET,64.0,100.0,80.0,-1,0,0,-1
Sulphate Amonia Ruiru 50kg,FERTILIZER,AGROVET,64.0,100.0,80.0,-1,0,0,-1
Sulphurgold 80 percent WDG 1kg,FUNGICIDES,AGROVET,385.0,550.0,450.0,-1,0,0,-1
Sulphurgold 80 percent WDG 500g,FUNGICIDES,AGROVET,180.0,250.0,207.0,-1,0,0,-1
Supermec 1 percent 50nl,-,AGROVET,218.0,320.0,235.0,-1,0,0,-1
Supermec 1percent 10ml,-,AGROVET,48.0,120.0,65.0,-1,0,0,-1
Sypertix 100ml,-,AGROVET,320.0,450.0,357.0,-1,0,0,-1
Sypertix 20ml,-,AGROVET,82.0,150.0,98.0,-1,0,0,-1
Sypertix 50ml,-,AGROVET,190.0,250.0,215.0,-1,0,0,-1
SyrInges 10cc,CONSUMABLES,AGROVET,3.5,10.0,5.0,-1,0,0,-1
SyrInges 20cc,CONSUMABLES,AGROVET,12.0,20.0,15.0,-1,0,0,-1
